item_id,order_id,product_id,quantity,unit_price,item_discount,item_total,item_return_flag
ITM0000051,ORD000015,PRD0017,3,52.65,3.13,154.82,0
ITM0000052,ORD000016,PRD0046,2,20.84,4.08,37.6,0
ITM0000053,ORD000016,PRD0055,6,119.0,56.54,657.46,0
ITM0000054,ORD000016,PRD0017,1,57.66,0.2,57.46,0
ITM0000055,ORD000016,PRD0070,3,522.48,21.66,1545.78,0
ITM0000056,ORD000016,PRD0097,3,305.32,39.33,876.63,0
ITM0000057,ORD000016,PRD0026,1,111.41,10.9,100.51,0
ITM0000058,ORD000017,PRD0053,1,139.44,9.94,129.5,0
ITM0000059,ORD000017,PRD0111,3,75.79,17.92,209.45,0
ITM0000060,ORD000017,PRD0037,2,192.85,10.83,374.87,0
ITM0000061,ORD000018,PRD0064,3,185.59,43.06,513.71,0
ITM0000062,ORD000018,PRD0009,1,71.61,3.91,67.7,0
ITM0000063,ORD000018,PRD0109,2,20.93,2.9,38.96,0
ITM0000064,ORD000018,PRD0075,3,151.75,12.17,443.08,0
ITM0000065,ORD000019,PRD0084,4,218.39,75.96,797.6,0
ITM0000066,ORD000019,PRD0074,6,120.66,35.0,688.96,0
ITM0000067,ORD000019,PRD0063,1,116.53,7.86,108.67,0
ITM0000068,ORD000019,PRD0049,1,159.07,7.48,151.59,0
ITM0000069,ORD000019,PRD0098,1,232.81,10.16,222.65,0
ITM0000070,ORD000019,PRD0109,3,21.13,5.27,58.12,0
ITM0000071,ORD000020,PRD0062,1,230.95,10.58,220.37,0
ITM0000072,ORD000020,PRD0058,2,119.14,19.01,219.27,0
ITM0000073,ORD000020,PRD0049,1,152.06,14.99,137.07,0
ITM0000074,ORD000020,PRD0021,1,104.05,9.37,94.68,0
ITM0000075,ORD000020,PRD0001,2,40.14,3.05,77.23,0
ITM0000076,ORD000020,PRD0024,1,135.7,0.37,135.33,0
ITM0000077,ORD000020,PRD0055,2,119.45,4.88,234.02,0
ITM0000078,ORD000021,PRD0042,3,141.99,34.82,391.15,0
ITM0000079,ORD000021,PRD0049,3,161.23,27.8,455.89,0
ITM0000080,ORD000021,PRD0112,3,663.9,65.49,1926.21,0
ITM0000081,ORD000021,PRD0039,1,212.18,17.74,194.44,0
ITM0000082,ORD000021,PRD0013,3,10.34,2.91,28.11,0
ITM0000083,ORD000022,PRD0015,2,69.12,8.89,129.35,0
ITM0000084,ORD000022,PRD0061,6,364.64,191.73,1996.11,0
ITM0000085,ORD000022,PRD0026,4,108.86,26.65,408.79,0
ITM0000086,ORD000022,PRD0023,3,60.74,1.49,180.73,0
ITM0000087,ORD000022,PRD0002,1,118.67,5.15,113.52,0
ITM0000088,ORD000022,PRD0013,2,10.31,0.93,19.69,0
ITM0000089,ORD000022,PRD0033,4,114.44,42.9,414.86,0
ITM0000090,ORD000022,PRD0012,1,112.87,4.65,108.22,0
ITM0000091,ORD000022,PRD0112,1,656.3,11.92,644.38,0
ITM0000092,ORD000023,PRD0033,3,110.37,22.88,308.23,0
ITM0000093,ORD000023,PRD0013,1,10.07,0.16,9.91,0
ITM0000094,ORD000023,PRD0020,1,38.97,0.43,38.54,0
ITM0000095,ORD000023,PRD0063,1,114.63,0.11,114.52,0
ITM0000096,ORD000023,PRD0007,1,50.54,3.16,47.38,0
ITM0000097,ORD000023,PRD0099,3,313.2,53.06,886.54,0
ITM0000098,ORD000024,PRD0068,2,184.13,28.26,340.0,0
ITM0000099,ORD000024,PRD0045,1,36.17,3.28,32.89,0
ITM0000100,ORD000024,PRD0028,3,98.54,4.08,291.54,0
ITM0000101,ORD000024,PRD0021,2,110.23,21.11,199.35,0
ITM0000102,ORD000024,PRD0069,1,570.39,9.81,560.58,0
ITM0000103,ORD000025,PRD0046,1,20.88,0.43,20.45,0
ITM0000104,ORD000025,PRD0018,4,49.06,9.38,186.86,0
ITM0000105,ORD000025,PRD0073,1,117.08,5.14,111.94,0
ITM0000106,ORD000025,PRD0060,3,315.72,87.35,859.81,0
ITM0000107,ORD000025,PRD0098,1,217.1,9.87,207.23,0
ITM0000108,ORD000026,PRD0071,3,323.18,75.71,893.83,0
ITM0000109,ORD000026,PRD0012,4,118.8,45.83,429.37,0
ITM0000110,ORD000026,PRD0073,1,119.67,0.37,119.3,0
ITM0000111,ORD000026,PRD0048,2,160.25,19.98,300.52,0
ITM0000112,ORD000026,PRD0108,2,104.8,11.68,197.92,0
ITM0000113,ORD000026,PRD0015,1,74.34,6.75,67.59,0
ITM0000114,ORD000027,PRD0068,2,188.89,12.45,365.33,0
ITM0000115,ORD000027,PRD0042,4,139.52,10.79,547.29,0
ITM0000116,ORD000027,PRD0109,4,21.71,2.06,84.78,0
ITM0000117,ORD000027,PRD0037,2,203.75,35.63,371.87,0
ITM0000118,ORD000027,PRD0110,1,96.88,4.72,92.16,0
ITM0000119,ORD000028,PRD0086,2,309.93,55.22,564.64,0
ITM0000120,ORD000028,PRD0114,4,410.52,21.82,1620.26,0
ITM0000121,ORD000028,PRD0026,4,109.22,40.13,396.75,0
ITM0000122,ORD000028,PRD0048,2,165.64,13.01,318.27,0
ITM0000123,ORD000028,PRD0056,1,211.23,12.64,198.59,0
ITM0000124,ORD000029,PRD0031,3,161.03,6.44,476.65,0
ITM0000125,ORD000029,PRD0002,2,120.13,1.97,238.29,0
ITM0000126,ORD000029,PRD0022,1,105.85,0.32,105.53,0
ITM0000127,ORD000029,PRD0029,4,239.84,7.21,952.15,0
ITM0000128,ORD000029,PRD0048,1,162.47,4.93,157.54,0
ITM0000129,ORD000029,PRD0017,2,54.88,2.32,107.44,0
ITM0000130,ORD000030,PRD0009,2,70.08,1.57,138.59,0
ITM0000131,ORD000030,PRD0069,2,569.44,87.29,1051.59,0
ITM0000132,ORD000030,PRD0109,1,20.14,1.22,18.92,0
ITM0000133,ORD000030,PRD0001,1,42.16,1.88,40.28,0
ITM0000134,ORD000030,PRD0025,1,74.88,1.19,73.69,0
ITM0000135,ORD000030,PRD0106,2,31.7,2.86,60.54,0
ITM0000136,ORD000031,PRD0107,2,113.78,16.75,210.81,0
ITM0000137,ORD000031,PRD0076,6,118.89,0.1,713.24,0
ITM0000138,ORD000031,PRD0080,6,78.88,2.94,470.34,0
ITM0000139,ORD000031,PRD0010,2,41.11,4.87,77.35,0
ITM0000140,ORD000031,PRD0055,3,112.26,16.23,320.55,0
ITM0000141,ORD000031,PRD0023,3,57.84,8.42,165.1,0
ITM0000142,ORD000031,PRD0018,3,49.69,9.29,139.78,0
ITM0000143,ORD000032,PRD0051,2,113.18,19.85,206.51,0
ITM0000144,ORD000032,PRD0107,1,119.17,2.31,116.86,0
ITM0000145,ORD000032,PRD0019,2,53.9,0.67,107.13,0
ITM0000146,ORD000032,PRD0111,1,70.06,5.7,64.36,0
ITM0000147,ORD000032,PRD0114,1,412.97,19.15,393.82,0
ITM0000148,ORD000033,PRD0060,4,330.2,5.47,1315.33,0
ITM0000149,ORD000033,PRD0017,1,57.1,4.53,52.57,0
ITM0000150,ORD000033,PRD0034,1,52.16,3.41,48.75,0
ITM0000151,ORD000033,PRD0047,1,102.04,3.27,98.77,0
ITM0000152,ORD000033,PRD0033,1,119.44,8.19,111.25,0
ITM0000153,ORD000033,PRD0029,2,254.68,31.38,477.98,0
ITM0000154,ORD000034,PRD0030,1,57.49,4.6,52.89,0
ITM0000155,ORD000034,PRD0019,1,53.81,2.7,51.11,0
ITM0000156,ORD000034,PRD0069,1,548.22,45.54,502.68,0
ITM0000157,ORD000034,PRD0075,2,146.52,22.11,270.93,0
ITM0000158,ORD000034,PRD0073,1,111.67,3.68,107.99,0
ITM0000159,ORD000034,PRD0035,4,27.76,6.01,105.03,0
ITM0000160,ORD000034,PRD0025,1,77.36,2.73,74.63,0
ITM0000161,ORD000035,PRD0104,2,91.75,1.49,182.01,0
ITM0000162,ORD000035,PRD0100,3,62.84,3.49,185.03,0
ITM0000163,ORD000035,PRD0033,4,111.38,4.89,440.63,0
ITM0000164,ORD000036,PRD0030,2,57.64,1.41,113.87,0
ITM0000165,ORD000036,PRD0010,1,41.4,0.28,41.12,0
ITM0000166,ORD000037,PRD0031,1,173.55,0.79,172.76,0
ITM0000167,ORD000037,PRD0040,2,149.13,5.79,292.47,0
ITM0000168,ORD000037,PRD0002,2,116.66,2.64,230.68,0
ITM0000169,ORD000037,PRD0032,1,101.25,0.86,100.39,0
ITM0000170,ORD000038,PRD0049,2,157.31,4.2,310.42,0
ITM0000171,ORD000038,PRD0099,2,295.01,1.61,588.41,0
ITM0000172,ORD000038,PRD0002,1,120.02,1.04,118.98,0
ITM0000173,ORD000038,PRD0042,4,146.54,4.53,581.63,0
ITM0000174,ORD000039,PRD0068,1,177.32,3.49,173.83,0
ITM0000175,ORD000039,PRD0041,3,222.55,1.95,665.7,0
ITM0000176,ORD000039,PRD0022,2,111.0,0.2,221.8,0
ITM0000177,ORD000039,PRD0008,3,18.77,0.82,55.49,1
ITM0000178,ORD000040,PRD0096,4,86.43,1.21,344.51,0
ITM0000179,ORD000040,PRD0044,1,56.51,1.08,55.43,0
ITM0000180,ORD000041,PRD0052,2,76.87,1.84,151.9,0
ITM0000181,ORD000041,PRD0071,4,312.28,12.16,1236.96,0
ITM0000182,ORD000041,PRD0051,1,113.39,1.51,111.88,0
ITM0000183,ORD000041,PRD0028,2,101.81,0.39,203.23,0
ITM0000184,ORD000042,PRD0032,1,100.3,4.89,95.41,0
ITM0000185,ORD000042,PRD0033,3,116.45,5.11,344.24,0
ITM0000186,ORD000042,PRD0008,6,19.09,7.95,106.59,0
ITM0000187,ORD000042,PRD0103,1,101.68,4.66,97.02,0
ITM0000188,ORD000042,PRD0064,2,191.17,10.77,371.57,0
ITM0000189,ORD000042,PRD0036,2,158.77,7.64,309.9,0
ITM0000190,ORD000042,PRD0037,2,193.75,22.49,365.01,0
ITM0000191,ORD000043,PRD0068,1,176.39,6.91,169.48,1
ITM0000192,ORD000043,PRD0006,1,54.26,3.77,50.49,0
ITM0000193,ORD000043,PRD0058,2,125.2,11.13,239.27,1
ITM0000194,ORD000043,PRD0079,4,110.39,26.25,415.31,0
ITM0000195,ORD000043,PRD0091,1,139.86,5.43,134.43,1
ITM0000196,ORD000044,PRD0045,1,34.57,1.18,33.39,0
ITM0000197,ORD000044,PRD0052,1,77.27,0.06,77.21,0
ITM0000198,ORD000044,PRD0103,4,101.72,8.67,398.21,0
ITM0000199,ORD000044,PRD0101,2,30.96,0.39,61.53,0
ITM0000200,ORD000044,PRD0041,1,224.79,0.49,224.3,0
ITM0000201,ORD000044,PRD0022,5,110.44,4.05,548.15,0
ITM0000202,ORD000045,PRD0034,4,51.06,4.15,200.09,0
ITM0000203,ORD000045,PRD0033,1,110.12,5.87,104.25,0
ITM0000204,ORD000045,PRD0023,1,58.1,3.18,54.92,0
ITM0000205,ORD000045,PRD0022,4,112.63,24.29,426.23,0
ITM0000206,ORD000045,PRD0097,2,282.57,19.41,545.73,1
ITM0000207,ORD000046,PRD0014,1,15.02,0.51,14.51,0
ITM0000208,ORD000046,PRD0028,2,94.66,7.61,181.71,0
ITM0000209,ORD000046,PRD0005,1,121.64,6.24,115.4,0
ITM0000210,ORD000046,PRD0022,2,108.13,9.93,206.33,0
ITM0000211,ORD000046,PRD0079,1,102.45,1.62,100.83,0
ITM0000212,ORD000047,PRD0099,3,294.76,1.72,882.56,0
ITM0000213,ORD000047,PRD0018,6,49.93,2.79,296.79,0
ITM0000214,ORD000047,PRD0042,1,148.3,10.05,138.25,0
ITM0000215,ORD000047,PRD0043,5,57.38,12.96,273.94,0
ITM0000216,ORD000048,PRD0048,1,162.08,6.68,155.4,0
ITM0000217,ORD000048,PRD0067,5,77.99,9.33,380.62,0
ITM0000218,ORD000048,PRD0095,1,196.05,12.01,184.04,0
ITM0000219,ORD000048,PRD0001,1,43.72,2.33,41.39,0
ITM0000220,ORD000048,PRD0035,1,27.44,0.28,27.16,0
ITM0000221,ORD000049,PRD0102,1,65.96,0.76,65.2,0
ITM0000222,ORD000049,PRD0075,1,144.22,7.5,136.72,0
ITM0000223,ORD000049,PRD0052,1,76.82,1.05,75.77,0
ITM0000224,ORD000049,PRD0050,3,248.01,31.56,712.47,0
ITM0000225,ORD000049,PRD0029,2,241.02,7.43,474.61,0
ITM0000226,ORD000050,PRD0037,1,199.06,2.26,196.8,0
ITM0000227,ORD000050,PRD0072,4,131.7,3.93,522.87,0
ITM0000228,ORD000050,PRD0097,1,294.03,12.62,281.41,0
ITM0000229,ORD000050,PRD0013,2,10.2,0.98,19.42,0
ITM0000230,ORD000050,PRD0041,1,217.44,9.31,208.13,0
ITM0000231,ORD000050,PRD0036,1,156.27,0.77,155.5,0
ITM0000232,ORD000050,PRD0069,1,549.42,6.6,542.82,0
ITM0000233,ORD000050,PRD0020,1,39.9,1.47,38.43,0
ITM0000234,ORD000050,PRD0063,1,117.97,0.62,117.35,0
ITM0000235,ORD000051,PRD0098,2,226.73,31.29,422.17,0
ITM0000236,ORD000051,PRD0037,2,193.15,9.19,377.11,0
ITM0000237,ORD000051,PRD0102,1,65.01,2.93,62.08,0
ITM0000238,ORD000051,PRD0113,1,568.1,12.83,555.27,0
ITM0000239,ORD000051,PRD0009,1,70.3,1.19,69.11,0
ITM0000240,ORD000052,PRD0002,1,122.48,4.55,117.93,0
ITM0000241,ORD000052,PRD0059,4,422.2,38.98,1649.82,0
ITM0000242,ORD000052,PRD0022,3,108.85,20.3,306.25,0
ITM0000243,ORD000052,PRD0097,1,303.91,9.63,294.28,0
ITM0000244,ORD000052,PRD0023,5,58.55,11.37,281.38,0
ITM0000245,ORD000052,PRD0069,2,596.69,16.87,1176.51,0
ITM0000246,ORD000052,PRD0067,5,79.41,17.81,379.24,0
ITM0000247,ORD000053,PRD0018,1,51.18,1.11,50.07,0
ITM0000248,ORD000053,PRD0003,1,100.39,1.67,98.72,0
ITM0000249,ORD000053,PRD0036,1,151.93,5.1,146.83,0
ITM0000250,ORD000053,PRD0023,2,57.2,2.02,112.38,0
ITM0000251,ORD000053,PRD0086,3,314.49,30.22,913.25,0
ITM0000252,ORD000054,PRD0059,1,413.22,12.7,400.52,0
ITM0000253,ORD000054,PRD0086,6,320.25,15.2,1906.3,0
ITM0000254,ORD000054,PRD0039,5,214.7,24.13,1049.37,0
ITM0000255,ORD000055,PRD0023,1,60.94,1.29,59.65,0
ITM0000256,ORD000055,PRD0022,1,104.02,2.28,101.74,0
ITM0000257,ORD000055,PRD0052,1,76.95,1.9,75.05,0
ITM0000258,ORD000055,PRD0042,1,147.05,2.99,144.06,0
ITM0000259,ORD000055,PRD0041,3,217.58,27.21,625.53,0
ITM0000260,ORD000055,PRD0007,2,50.69,3.7,97.68,0
ITM0000261,ORD000056,PRD0015,2,72.65,5.68,139.62,0
ITM0000262,ORD000056,PRD0038,1,144.11,3.57,140.54,0
ITM0000263,ORD000057,PRD0018,2,48.85,4.66,93.04,0
ITM0000264,ORD000057,PRD0057,2,271.01,20.84,521.18,0
ITM0000265,ORD000057,PRD0034,2,54.31,3.95,104.67,0
ITM0000266,ORD000057,PRD0042,1,143.34,6.11,137.23,0
ITM0000267,ORD000057,PRD0052,2,76.32,5.47,147.17,0
ITM0000268,ORD000058,PRD0100,2,64.66,5.67,123.65,0
ITM0000269,ORD000058,PRD0041,1,220.31,1.59,218.72,0
ITM0000270,ORD000058,PRD0038,2,148.26,13.13,283.39,0
ITM0000271,ORD000059,PRD0003,1,99.79,1.41,98.38,0
ITM0000272,ORD000059,PRD0037,2,208.9,6.18,411.62,0
ITM0000273,ORD000060,PRD0055,2,113.01,0.87,225.15,0
ITM0000274,ORD000060,PRD0011,1,52.61,0.07,52.54,0
ITM0000275,ORD000060,PRD0015,2,70.64,1.73,139.55,0
ITM0000276,ORD000060,PRD0073,1,111.62,1.75,109.87,0
ITM0000277,ORD000060,PRD0102,5,65.42,1.72,325.38,0
ITM0000278,ORD000061,PRD0008,1,20.44,0.2,20.24,0
ITM0000279,ORD000061,PRD0037,1,207.57,1.91,205.66,0
ITM0000280,ORD000061,PRD0013,1,10.16,0.04,10.12,0
ITM0000281,ORD000061,PRD0004,1,214.81,0.47,214.34,0
ITM0000282,ORD000061,PRD0022,2,107.14,1.26,213.02,0
ITM0000283,ORD000062,PRD0051,5,118.31,28.05,563.5,0
ITM0000284,ORD000062,PRD0012,1,117.01,6.97,110.04,0
ITM0000285,ORD000062,PRD0001,1,42.36,2.29,40.07,0
ITM0000286,ORD000062,PRD0086,1,321.8,8.97,312.83,0
ITM0000287,ORD000062,PRD0014,4,14.6,1.88,56.52,0
ITM0000288,ORD000063,PRD0059,6,404.04,135.71,2288.53,0
ITM0000289,ORD000063,PRD0027,1,445.46,22.47,422.99,0
ITM0000290,ORD000063,PRD0057,1,285.76,16.96,268.8,0
ITM0000291,ORD000064,PRD0018,3,50.45,2.15,149.2,0
ITM0000292,ORD000064,PRD0015,1,70.52,0.13,70.39,0
ITM0000293,ORD000064,PRD0038,2,147.96,15.86,280.06,0
ITM0000294,ORD000065,PRD0066,1,48.62,2.41,46.21,0
ITM0000295,ORD000065,PRD0021,3,106.08,20.46,297.78,0
ITM0000296,ORD000065,PRD0001,1,41.68,0.12,41.56,0
ITM0000297,ORD000065,PRD0049,5,146.82,8.98,725.12,0
ITM0000298,ORD000066,PRD0057,3,270.34,37.5,773.52,0
ITM0000299,ORD000066,PRD0043,3,58.71,7.2,168.93,0
ITM0000300,ORD000066,PRD0055,3,121.12,23.97,339.39,0
ITM0000301,ORD000066,PRD0104,6,97.84,17.59,569.45,0
ITM0000302,ORD000066,PRD0091,3,132.71,15.47,382.66,0
ITM0000303,ORD000067,PRD0026,3,115.56,13.22,333.46,1
ITM0000304,ORD000067,PRD0019,2,54.33,6.57,102.09,0
ITM0000305,ORD000067,PRD0021,1,108.25,0.54,107.71,0
ITM0000306,ORD000067,PRD0047,1,99.31,1.58,97.73,0
ITM0000307,ORD000067,PRD0076,1,119.86,0.89,118.97,0
ITM0000308,ORD000068,PRD0073,3,118.5,21.02,334.48,0
ITM0000309,ORD000068,PRD0086,2,294.76,27.07,562.45,0
ITM0000310,ORD000068,PRD0023,1,60.11,0.45,59.66,0
ITM0000311,ORD000069,PRD0066,2,45.06,5.58,84.54,0
ITM0000312,ORD000069,PRD0038,2,136.03,2.01,270.05,0
ITM0000313,ORD000069,PRD0100,3,65.0,6.32,188.68,0
ITM0000314,ORD000069,PRD0095,2,193.39,18.16,368.62,0
ITM0000315,ORD000069,PRD0050,1,243.66,7.8,235.86,0
ITM0000316,ORD000070,PRD0046,1,21.17,0.55,20.62,0
ITM0000317,ORD000070,PRD0025,1,76.65,4.91,71.74,0
ITM0000318,ORD000070,PRD0077,5,176.61,47.13,835.92,0
ITM0000319,ORD000070,PRD0018,1,50.58,0.37,50.21,0
ITM0000320,ORD000070,PRD0034,2,50.39,6.3,94.48,0
ITM0000321,ORD000070,PRD0097,1,283.84,0.99,282.85,0
ITM0000322,ORD000071,PRD0073,2,119.98,1.46,238.5,1
ITM0000323,ORD000071,PRD0035,1,27.21,0.46,26.75,1
ITM0000324,ORD000071,PRD0017,1,53.9,2.59,51.31,1
ITM0000325,ORD000071,PRD0030,3,55.76,0.04,167.24,1
ITM0000326,ORD000071,PRD0023,1,58.58,2.95,55.63,0
ITM0000327,ORD000072,PRD0020,2,36.5,4.68,68.32,0
ITM0000328,ORD000072,PRD0041,3,229.64,29.9,659.02,0
ITM0000329,ORD000072,PRD0033,1,111.7,1.84,109.86,0
ITM0000330,ORD000072,PRD0111,1,76.1,2.79,73.31,0
ITM0000331,ORD000072,PRD0034,1,52.73,0.33,52.4,0
ITM0000332,ORD000072,PRD0007,1,52.57,2.17,50.4,0
ITM0000333,ORD000073,PRD0008,2,18.56,0.18,36.94,0
ITM0000334,ORD000073,PRD0058,1,126.62,4.02,122.6,0
ITM0000335,ORD000073,PRD0059,1,404.35,24.72,379.63,0
ITM0000336,ORD000074,PRD0005,2,119.18,0.65,237.71,0
ITM0000337,ORD000075,PRD0049,1,156.1,4.29,151.81,0
ITM0000338,ORD000076,PRD0009,1,67.2,3.07,64.13,0
ITM0000339,ORD000076,PRD0010,1,40.29,1.04,39.25,0
ITM0000340,ORD000077,PRD0008,2,20.35,2.67,38.03,0
ITM0000341,ORD000077,PRD0060,1,320.22,11.79,308.43,0
ITM0000342,ORD000077,PRD0016,1,36.62,1.23,35.39,0
ITM0000343,ORD000077,PRD0020,2,39.51,0.23,78.79,0
ITM0000344,ORD000077,PRD0014,2,14.2,0.04,28.36,0
ITM0000345,ORD000078,PRD0021,1,107.47,10.65,96.82,0
ITM0000346,ORD000078,PRD0053,2,134.63,22.07,247.19,0
ITM0000347,ORD000078,PRD0002,1,119.53,6.09,113.44,0
ITM0000348,ORD000078,PRD0071,1,310.73,19.46,291.27,0
ITM0000349,ORD000079,PRD0056,2,208.11,1.28,414.94,0
ITM0000350,ORD000079,PRD0103,2,103.8,19.31,188.29,0
ITM0000351,ORD000079,PRD0017,2,55.82,4.7,106.94,0
ITM0000352,ORD000080,PRD0013,3,10.55,2.14,29.51,0
ITM0000353,ORD000080,PRD0044,1,53.38,2.56,50.82,0
ITM0000354,ORD000080,PRD0017,1,53.07,4.63,48.44,0
ITM0000355,ORD000080,PRD0026,2,113.89,5.21,222.57,0
ITM0000356,ORD000080,PRD0027,2,453.73,65.49,841.97,0
ITM0000357,ORD000080,PRD0060,2,301.66,9.85,593.47,0
ITM0000358,ORD000080,PRD0045,3,37.53,9.35,103.24,0
ITM0000359,ORD000081,PRD0108,1,107.1,10.26,96.84,0
ITM0000360,ORD000081,PRD0013,1,9.89,0.99,8.9,0
ITM0000361,ORD000081,PRD0111,2,71.75,2.39,141.11,0
ITM0000362,ORD000081,PRD0023,1,60.8,0.61,60.19,0
ITM0000363,ORD000081,PRD0081,1,816.79,7.17,809.62,0
ITM0000364,ORD000081,PRD0038,3,138.52,10.9,404.66,0
ITM0000365,ORD000081,PRD0015,3,74.89,19.95,204.72,0
ITM0000366,ORD000082,PRD0070,3,507.59,104.67,1418.1,0
ITM0000367,ORD000082,PRD0061,2,379.97,57.82,702.12,0
ITM0000368,ORD000082,PRD0051,2,114.52,11.61,217.43,0
ITM0000369,ORD000082,PRD0054,1,115.96,2.03,113.93,0
ITM0000370,ORD000082,PRD0077,3,169.76,39.47,469.81,0
ITM0000371,ORD000083,PRD0009,1,68.39,6.79,61.6,0
ITM0000372,ORD000083,PRD0071,3,336.29,23.31,985.56,0
ITM0000373,ORD000083,PRD0103,1,99.94,2.13,97.81,0
ITM0000374,ORD000083,PRD0006,1,53.33,1.82,51.51,0
ITM0000375,ORD000083,PRD0014,4,14.42,0.55,57.13,0
ITM0000376,ORD000083,PRD0075,1,153.66,13.73,139.93,0
ITM0000377,ORD000083,PRD0048,1,163.45,2.69,160.76,0
ITM0000378,ORD000084,PRD0055,3,117.53,22.32,330.27,0
ITM0000379,ORD000084,PRD0013,1,10.08,0.19,9.89,0
ITM0000380,ORD000084,PRD0052,2,77.69,11.19,144.19,0
ITM0000381,ORD000085,PRD0080,1,81.72,7.96,73.76,0
ITM0000382,ORD000085,PRD0026,3,111.52,6.88,327.68,0
ITM0000383,ORD000085,PRD0052,1,78.68,2.44,76.24,0
ITM0000384,ORD000085,PRD0113,1,573.19,31.62,541.57,0
ITM0000385,ORD000085,PRD0072,1,138.47,11.47,127.0,0
ITM0000386,ORD000086,PRD0081,1,768.2,30.67,737.53,0
ITM0000387,ORD000086,PRD0005,5,118.69,34.73,558.72,0
ITM0000388,ORD000086,PRD0013,2,9.77,0.1,19.44,0
ITM0000389,ORD000086,PRD0021,1,105.53,1.22,104.31,0
ITM0000390,ORD000086,PRD0044,6,53.18,16.94,302.14,0
ITM0000391,ORD000087,PRD0096,2,84.05,11.42,156.68,0
ITM0000392,ORD000087,PRD0039,1,216.9,4.93,211.97,0
ITM0000393,ORD000087,PRD0069,5,548.01,49.7,2690.35,0
ITM0000394,ORD000087,PRD0075,1,145.45,8.94,136.51,0
ITM0000395,ORD000087,PRD0063,4,111.39,29.6,415.96,0
ITM0000396,ORD000087,PRD0040,1,148.1,6.92,141.18,0
ITM0000397,ORD000087,PRD0062,2,234.33,15.43,453.23,0
