order_id,customer_id,order_date,order_month,order_quarter,delivery_date,channel,city,order_status,payment_method,delivery_slot,promo_code,promo_discount_amt,gross_order_value,net_order_value
ORD000060,CUST00019,2023-10-30,10,4,2023-11-02,App,Delhi,Delivered,Debit Card,Morning 6-10 AM,,0.0,858.63,858.63
ORD000061,CUST00021,2023-12-24,12,4,2023-12-25,App,Delhi,Delivered,Credit Card,Evening 4-8 PM,,0.0,667.26,667.26
ORD000062,CUST00024,2023-08-18,8,3,2023-08-21,Web,Bengaluru,Delivered,Credit Card,Evening 4-8 PM,,0.0,1131.12,1131.12
ORD000063,CUST00024,2023-03-15,3,1,2023-03-17,App,Bengaluru,Delivered,UPI,Evening 4-8 PM,,0.0,3155.46,3155.46
ORD000064,CUST00024,2023-01-13,1,1,2023-01-15,App,Bengaluru,Delivered,UPI,Evening 4-8 PM,,0.0,517.79,517.79
ORD000065,CUST00024,2023-07-18,7,3,2023-07-20,App,Bengaluru,Delivered,COD,,,0.0,1142.64,1142.64
ORD000066,CUST00024,2023-01-21,1,1,,Kiosk,Bengaluru,Cancelled,UPI,Afternoon 10-2 PM,,0.0,2335.68,0.0
ORD000067,CUST00024,2023-10-10,10,4,2023-10-11,App,Bengaluru,Delivered,Wallet,Late Night 8-11 PM,,0.0,782.76,782.76
ORD000068,CUST00024,2023-12-29,12,4,2024-01-01,App,Bengaluru,Delivered,Debit Card,Morning 6-10 AM,,0.0,1005.13,1005.13
ORD000069,CUST00024,2023-11-22,11,4,2023-11-24,App,Bengaluru,Delivered,Debit Card,Late Night 8-11 PM,,0.0,1187.62,1187.62
ORD000070,CUST00024,2023-08-04,8,3,2023-08-06,Web,Bengaluru,Delivered,UPI,Evening 4-8 PM,,0.0,1416.07,1416.07
ORD000071,CUST00029,2023-04-28,4,2,2023-04-30,Kiosk,Bengaluru,Returned,Credit Card,Evening 4-8 PM,,0.0,546.93,63.13
ORD000072,CUST00029,2023-11-08,11,4,2023-11-09,Web,Bengaluru,Delivered,UPI,Evening 4-8 PM,,0.0,1055.02,1055.02
ORD000073,CUST00029,2023-01-07,1,1,2023-01-10,App,Bengaluru,Delivered,UPI,Morning 6-10 AM,,0.0,568.09,568.09
ORD000074,CUST00029,2023-11-17,11,4,2023-11-19,Kiosk,Bengaluru,Delivered,Credit Card,Late Night 8-11 PM,,0.0,238.36,238.36
ORD000075,CUST00029,2023-06-25,6,2,2023-06-26,App,Bengaluru,Delivered,UPI,Afternoon 10-2 PM,,0.0,156.1,156.1
ORD000076,CUST00029,2023-07-02,7,3,2023-07-03,App,Bengaluru,Delivered,Credit Card,Morning 6-10 AM,,0.0,107.49,107.49
ORD000077,CUST00029,2023-12-07,12,4,2023-12-09,Kiosk,Bengaluru,Delivered,UPI,Evening 4-8 PM,,0.0,504.96,504.96
ORD000078,CUST00030,2023-04-27,4,2,2023-04-28,App,Bengaluru,Delivered,Credit Card,Morning 6-10 AM,,0.0,806.99,806.99
ORD000079,CUST00030,2023-06-09,6,2,2023-06-12,App,Bengaluru,Delivered,Wallet,Morning 6-10 AM,,0.0,735.46,735.46
ORD000080,CUST00030,2023-07-11,7,3,2023-07-14,Web,Bengaluru,Delivered,Debit Card,Afternoon 10-2 PM,,0.0,1989.25,1989.25
ORD000081,CUST00030,2023-01-10,1,1,2023-01-12,App,Bengaluru,Delivered,UPI,Morning 6-10 AM,,0.0,1778.31,1778.31
ORD000082,CUST00030,2023-03-04,3,1,2023-03-07,Web,Bengaluru,Delivered,Wallet,Morning 6-10 AM,,0.0,3136.99,3136.99
ORD000083,CUST00030,2023-12-25,12,4,2023-12-28,App,Bengaluru,Delivered,UPI,Morning 6-10 AM,XMAS23,222.11,1605.32,1383.21
ORD000084,CUST00030,2023-11-16,11,4,2023-11-19,App,Bengaluru,Delivered,UPI,Afternoon 10-2 PM,,0.0,518.05,518.05
ORD000085,CUST00030,2023-01-16,1,1,2023-01-18,App,Bengaluru,Delivered,COD,,,0.0,1206.62,1206.62
ORD000086,CUST00030,2023-08-27,8,3,2023-08-28,App,Bengaluru,Delivered,Debit Card,Morning 6-10 AM,,0.0,1805.8,1805.8
ORD000087,CUST00030,2023-01-25,1,1,2023-01-27,Web,Bengaluru,Delivered,UPI,Evening 4-8 PM,,0.0,5035.12,5035.12
ORD000088,CUST00030,2023-06-16,6,2,2023-06-17,App,Bengaluru,Delivered,Wallet,Morning 6-10 AM,,0.0,2187.52,2187.52
ORD000089,CUST00031,2023-06-05,6,2,2023-06-07,App,Pune,Delivered,COD,Afternoon 10-2 PM,,0.0,824.97,824.97
ORD000090,CUST00033,2023-07-31,7,3,2023-08-02,Web,Bengaluru,Delivered,UPI,Morning 6-10 AM,,0.0,1339.66,1339.66
ORD000091,CUST00033,2023-02-23,2,1,2023-02-24,App,Bengaluru,Delivered,Debit Card,Morning 6-10 AM,,0.0,385.05,385.05
ORD000092,CUST00033,2023-11-30,11,4,2023-12-02,Web,Bengaluru,Delivered,UPI,Morning 6-10 AM,,0.0,1855.22,1855.22
ORD000093,CUST00033,2023-07-25,7,3,2023-07-28,App,Bengaluru,Delivered,UPI,Evening 4-8 PM,,0.0,1198.61,1198.61
ORD000094,CUST00033,2023-04-14,4,2,2023-04-17,Web,Bengaluru,Delivered,UPI,Evening 4-8 PM,,0.0,2224.9,2224.9
ORD000095,CUST00033,2023-07-13,7,3,2023-07-16,Kiosk,Bengaluru,Delivered,UPI,Evening 4-8 PM,,0.0,1862.99,1862.99
ORD000096,CUST00033,2023-08-03,8,3,2023-08-05,Web,Bengaluru,Delivered,COD,Evening 4-8 PM,,0.0,1454.88,1454.88
ORD000097,CUST00033,2023-09-30,9,3,,App,Bengaluru,Cancelled,UPI,Evening 4-8 PM,,0.0,2987.19,0.0
ORD000098,CUST00033,2023-11-27,11,4,2023-11-28,App,Bengaluru,Delivered,Credit Card,Late Night 8-11 PM,,0.0,3006.03,3006.03
ORD000099,CUST00033,2023-09-16,9,3,2023-09-17,App,Bengaluru,Delivered,Credit Card,Afternoon 10-2 PM,,0.0,214.67,214.67
ORD000100,CUST00035,2023-08-21,8,3,2023-08-22,App,Ahmedabad,Delivered,UPI,Afternoon 10-2 PM,,0.0,943.6,943.6
ORD000101,CUST00037,2023-07-02,7,3,2023-07-03,App,Bengaluru,Delivered,Wallet,Late Night 8-11 PM,,0.0,801.55,801.55
ORD000102,CUST00037,2023-08-13,8,3,2023-08-15,App,Bengaluru,Delivered,UPI,Morning 6-10 AM,,0.0,5843.48,5843.48
ORD000103,CUST00037,2023-08-17,8,3,2023-08-20,Web,Bengaluru,Delivered,UPI,Afternoon 10-2 PM,,0.0,2311.74,2311.74
ORD000104,CUST00037,2023-03-13,3,1,2023-03-16,Web,Bengaluru,Delivered,Debit Card,Late Night 8-11 PM,,0.0,1901.17,1901.17
ORD000105,CUST00037,2023-03-23,3,1,2023-03-25,App,Bengaluru,Delivered,UPI,Afternoon 10-2 PM,,0.0,1132.06,1132.06
ORD000106,CUST00037,2023-02-07,2,1,2023-02-10,App,Bengaluru,Delivered,UPI,Evening 4-8 PM,,0.0,1946.7,1946.7
ORD000107,CUST00037,2023-10-22,10,4,2023-10-24,App,Bengaluru,Delivered,UPI,Morning 6-10 AM,DUSSEHRA23,228.32,1857.66,1629.34
ORD000108,CUST00037,2023-07-14,7,3,2023-07-16,App,Bengaluru,Delivered,Debit Card,Evening 4-8 PM,,0.0,1055.9,1055.9
ORD000109,CUST00037,2023-09-09,9,3,2023-09-10,App,Bengaluru,Delivered,Debit Card,Morning 6-10 AM,,0.0,2548.11,2548.11
ORD000110,CUST00037,2023-05-18,5,2,2023-05-19,Web,Bengaluru,Delivered,UPI,Evening 4-8 PM,,0.0,2245.78,2245.78
ORD000111,CUST00037,2023-03-06,3,1,2023-03-09,App,Bengaluru,Delivered,Debit Card,Afternoon 10-2 PM,,0.0,3964.51,3964.51
ORD000112,CUST00037,2023-11-05,11,4,2023-11-08,App,Bengaluru,Delivered,Debit Card,Afternoon 10-2 PM,,0.0,2375.88,2375.88
ORD000113,CUST00037,2023-09-13,9,3,2023-09-15,App,Bengaluru,Delivered,UPI,Morning 6-10 AM,,0.0,937.65,937.65
ORD000114,CUST00037,2023-05-03,5,2,2023-05-04,App,Bengaluru,Delivered,Wallet,Evening 4-8 PM,,0.0,1321.97,1321.97
ORD000115,CUST00037,2023-12-05,12,4,2023-12-06,App,Bengaluru,Delivered,Wallet,Morning 6-10 AM,,0.0,1586.62,1586.62
ORD000116,CUST00037,2023-12-05,12,4,2023-12-07,Web,Bengaluru,Delivered,COD,Morning 6-10 AM,,0.0,600.01,600.01
ORD000117,CUST00038,2023-08-12,8,3,2023-08-13,App,Bengaluru,Delivered,UPI,Afternoon 10-2 PM,,0.0,3822.49,3822.49
ORD000118,CUST00038,2023-06-16,6,2,2023-06-18,App,Bengaluru,Delivered,Credit Card,Afternoon 10-2 PM,,0.0,1160.77,1160.77
ORD000119,CUST00038,2023-10-04,10,4,2023-10-05,App,Bengaluru,Delivered,UPI,Afternoon 10-2 PM,,0.0,1305.89,1305.89
ORD000120,CUST00038,2023-11-18,11,4,2023-11-20,App,Bengaluru,Delivered,Debit Card,Afternoon 10-2 PM,,0.0,2828.16,2828.16
ORD000121,CUST00038,2023-04-17,4,2,2023-04-20,Web,Bengaluru,Delivered,UPI,Evening 4-8 PM,,0.0,1651.87,1651.87
ORD000122,CUST00038,2023-04-23,4,2,2023-04-24,App,Bengaluru,Delivered,COD,Evening 4-8 PM,,0.0,3112.94,3112.94
ORD000123,CUST00038,2023-03-04,3,1,2023-03-05,Web,Bengaluru,Delivered,UPI,Evening 4-8 PM,,0.0,1597.1,1597.1
ORD000124,CUST00039,2023-12-05,12,4,2023-12-07,App,Pune,Delivered,UPI,Afternoon 10-2 PM,,0.0,1110.51,1110.51
ORD000125,CUST00039,2023-08-03,8,3,2023-08-04,Web,Pune,Delivered,UPI,Evening 4-8 PM,,0.0,1889.57,1889.57
ORD000126,CUST00039,2023-08-26,8,3,2023-08-27,App,Pune,Delivered,UPI,Morning 6-10 AM,,0.0,2649.56,2649.56
ORD000127,CUST00039,2023-10-23,10,4,2023-10-25,App,Pune,Delivered,Debit Card,Evening 4-8 PM,,0.0,1098.97,1098.97
ORD000128,CUST00039,2023-08-31,8,3,2023-09-03,App,Pune,Delivered,COD,Afternoon 10-2 PM,,0.0,2405.82,2405.82
ORD000129,CUST00039,2023-06-30,6,2,2023-07-03,App,Pune,Delivered,Debit Card,Morning 6-10 AM,,0.0,984.28,984.28
ORD000130,CUST00039,2023-08-12,8,3,2023-08-15,Web,Pune,Delivered,Wallet,Morning 6-10 AM,,0.0,1222.7,1222.7
ORD000131,CUST00039,2023-10-03,10,4,2023-10-05,App,Pune,Delivered,Credit Card,Afternoon 10-2 PM,,0.0,1825.74,1825.74
ORD000132,CUST00039,2023-07-04,7,3,2023-07-07,App,Pune,Delivered,UPI,Afternoon 10-2 PM,,0.0,1859.33,1859.33
ORD000133,CUST00040,2023-07-05,7,3,2023-07-08,App,Bengaluru,Delivered,Credit Card,Afternoon 10-2 PM,,0.0,841.44,841.44
ORD000134,CUST00040,2023-04-29,4,2,2023-05-01,App,Bengaluru,Delivered,Debit Card,Morning 6-10 AM,,0.0,1486.54,1486.54
ORD000135,CUST00042,2023-03-13,3,1,2023-03-14,Web,Ahmedabad,Delivered,UPI,Afternoon 10-2 PM,,0.0,3454.41,3454.41
ORD000136,CUST00043,2023-05-12,5,2,2023-05-13,App,Mumbai,Delivered,Credit Card,Morning 6-10 AM,,0.0,976.39,976.39
ORD000137,CUST00043,2023-05-04,5,2,2023-05-06,Web,Mumbai,Delivered,UPI,Morning 6-10 AM,,0.0,242.91,242.91
ORD000138,CUST00043,2023-12-09,12,4,2023-12-11,App,Mumbai,Delivered,Credit Card,Morning 6-10 AM,,0.0,36.55,36.55
ORD000139,CUST00043,2023-07-10,7,3,2023-07-12,App,Mumbai,Delivered,UPI,Afternoon 10-2 PM,,0.0,1443.22,1443.22
ORD000140,CUST00043,2023-04-09,4,2,2023-04-10,App,Mumbai,Delivered,UPI,Afternoon 10-2 PM,,0.0,2644.81,2644.81
ORD000141,CUST00043,2023-06-12,6,2,2023-06-14,App,Mumbai,Delivered,Credit Card,Afternoon 10-2 PM,,0.0,811.13,811.13
ORD000142,CUST00043,2023-12-03,12,4,2023-12-04,App,Mumbai,Delivered,UPI,Afternoon 10-2 PM,,0.0,802.64,802.64
ORD000143,CUST00043,2023-10-05,10,4,2023-10-07,App,Mumbai,Delivered,Debit Card,Evening 4-8 PM,,0.0,711.04,711.04
ORD000144,CUST00043,2023-02-04,2,1,2023-02-05,App,Mumbai,Delivered,UPI,Late Night 8-11 PM,,0.0,1035.86,1035.86
ORD000145,CUST00043,2023-12-21,12,4,2023-12-24,App,Mumbai,Delivered,Credit Card,Morning 6-10 AM,,0.0,2012.01,2012.01
ORD000146,CUST00043,2023-08-10,8,3,2023-08-13,Web,Mumbai,Delivered,Wallet,Morning 6-10 AM,,0.0,864.03,864.03
ORD000147,CUST00043,2023-03-28,3,1,2023-03-30,App,Mumbai,Delivered,COD,Late Night 8-11 PM,,0.0,3016.6,3016.6
ORD000148,CUST00043,2023-03-01,3,1,2023-03-04,App,Mumbai,Delivered,UPI,Afternoon 10-2 PM,,0.0,1820.69,1820.69
ORD000149,CUST00043,2023-01-25,1,1,2023-01-27,Web,Mumbai,Delivered,UPI,Late Night 8-11 PM,,0.0,598.04,598.04
ORD000150,CUST00043,2023-02-09,2,1,2023-02-12,App,Mumbai,Delivered,Debit Card,Evening 4-8 PM,,0.0,723.95,723.95
ORD000151,CUST00043,2023-12-13,12,4,2023-12-14,Web,Mumbai,Delivered,UPI,Late Night 8-11 PM,,0.0,5191.93,5191.93
ORD000152,CUST00043,2023-03-07,3,1,2023-03-09,Web,Mumbai,Delivered,UPI,Morning 6-10 AM,HOLI23,83.14,1503.13,1419.99
ORD000153,CUST00045,2023-07-15,7,3,2023-07-16,App,Mumbai,Delivered,Wallet,Morning 6-10 AM,,0.0,766.44,766.44
ORD000154,CUST00045,2023-01-19,1,1,2023-01-20,App,Mumbai,Delivered,UPI,Evening 4-8 PM,,0.0,290.35,290.35
ORD000155,CUST00045,2023-12-14,12,4,2023-12-16,App,Mumbai,Delivered,UPI,Evening 4-8 PM,,0.0,372.31,372.31
ORD000156,CUST00045,2023-05-04,5,2,2023-05-06,App,Mumbai,Delivered,UPI,Morning 6-10 AM,,0.0,3527.78,3527.78
ORD000157,CUST00045,2023-11-01,11,4,2023-11-02,Web,Mumbai,Delivered,UPI,Morning 6-10 AM,,0.0,2994.4,2994.4
ORD000158,CUST00045,2023-05-25,5,2,2023-05-26,App,Mumbai,Delivered,Wallet,Morning 6-10 AM,,0.0,950.43,950.43
ORD000159,CUST00045,2023-11-04,11,4,2023-11-07,Web,Mumbai,Delivered,Wallet,Afternoon 10-2 PM,,0.0,531.92,531.92
ORD000160,CUST00045,2023-10-17,10,4,2023-10-18,App,Mumbai,Delivered,UPI,Morning 6-10 AM,,0.0,1538.84,1538.84
ORD000161,CUST00045,2023-02-14,2,1,2023-02-16,App,Mumbai,Delivered,Credit Card,Morning 6-10 AM,,0.0,1032.74,1032.74
ORD000162,CUST00046,2023-12-26,12,4,2023-12-28,Kiosk,Bengaluru,Delivered,UPI,Evening 4-8 PM,,0.0,1239.68,1239.68
ORD000163,CUST00046,2023-08-12,8,3,2023-08-13,App,Bengaluru,Delivered,UPI,Afternoon 10-2 PM,,0.0,39.71,39.71
ORD000164,CUST00046,2023-06-22,6,2,2023-06-24,App,Bengaluru,Returned,UPI,Afternoon 10-2 PM,,0.0,805.96,303.15
ORD000165,CUST00046,2023-07-28,7,3,2023-07-31,App,Bengaluru,Delivered,Debit Card,Afternoon 10-2 PM,,0.0,2478.82,2478.82
ORD000166,CUST00046,2023-03-07,3,1,2023-03-10,App,Bengaluru,Delivered,Debit Card,Evening 4-8 PM,,0.0,1413.75,1413.75
ORD000167,CUST00046,2023-02-20,2,1,2023-02-22,App,Bengaluru,Delivered,COD,Evening 4-8 PM,,0.0,1510.62,1510.62
ORD000168,CUST00046,2023-03-22,3,1,2023-03-25,Web,Bengaluru,Delivered,Credit Card,Evening 4-8 PM,,0.0,1928.89,1928.89
ORD000169,CUST00046,2023-08-17,8,3,2023-08-20,App,Bengaluru,Delivered,COD,Afternoon 10-2 PM,,0.0,1689.14,1689.14
ORD000170,CUST00048,2023-11-06,11,4,,App,Mumbai,Cancelled,COD,Evening 4-8 PM,,0.0,1365.06,0.0
ORD000171,CUST00048,2023-08-15,8,3,2023-08-17,App,Mumbai,Delivered,Debit Card,Afternoon 10-2 PM,,0.0,2522.98,2522.98
ORD000172,CUST00048,2023-04-03,4,2,2023-04-04,Web,Mumbai,Delivered,UPI,Evening 4-8 PM,,0.0,525.63,525.63
ORD000173,CUST00048,2023-12-28,12,4,2023-12-30,Web,Mumbai,Delivered,Debit Card,Afternoon 10-2 PM,XMAS23,210.61,1682.55,1471.94
ORD000174,CUST00048,2023-04-08,4,2,2023-04-09,Web,Mumbai,Delivered,UPI,Morning 6-10 AM,,0.0,843.03,843.03
ORD000175,CUST00048,2023-10-16,10,4,2023-10-19,App,Mumbai,Delivered,UPI,Morning 6-10 AM,,0.0,1871.09,1871.09
ORD000176,CUST00048,2023-01-04,1,1,2023-01-07,App,Mumbai,Delivered,UPI,Late Night 8-11 PM,,0.0,1896.17,1896.17
ORD000177,CUST00048,2023-05-03,5,2,2023-05-05,App,Mumbai,Delivered,UPI,Evening 4-8 PM,,0.0,1862.88,1862.88
ORD000178,CUST00048,2023-10-07,10,4,2023-10-09,App,Mumbai,Delivered,UPI,Late Night 8-11 PM,,0.0,1282.4,1282.4
ORD000179,CUST00048,2023-04-22,4,2,2023-04-25,App,Mumbai,Delivered,UPI,Morning 6-10 AM,,0.0,1927.14,1927.14
ORD000180,CUST00048,2023-03-13,3,1,2023-03-15,Web,Mumbai,Delivered,UPI,Late Night 8-11 PM,,0.0,1971.13,1971.13
ORD000181,CUST00048,2023-05-26,5,2,2023-05-28,App,Mumbai,Delivered,UPI,Morning 6-10 AM,,0.0,1388.08,1388.08
ORD000182,CUST00048,2023-12-01,12,4,2023-12-04,App,Mumbai,Delivered,COD,Evening 4-8 PM,,0.0,1394.77,1394.77
ORD000183,CUST00048,2023-05-27,5,2,2023-05-30,App,Mumbai,Delivered,Debit Card,Evening 4-8 PM,,0.0,624.86,624.86
ORD000184,CUST00048,2023-02-03,2,1,2023-02-05,Web,Mumbai,Delivered,Debit Card,Morning 6-10 AM,,0.0,404.94,404.94
ORD000185,CUST00048,2023-04-15,4,2,2023-04-18,Kiosk,Mumbai,Delivered,UPI,Late Night 8-11 PM,,0.0,659.6,659.6
ORD000186,CUST00048,2023-09-13,9,3,2023-09-16,Web,Mumbai,Delivered,UPI,Evening 4-8 PM,,0.0,1403.35,1403.35
